179,Gray 85,Burlywood 4,Gray 99,Darkolivegreen,Ivoryblack,Antiquewhite 3
180,Gray 99,Antiquewhite 2,Tan 4,Gray 70,Sepia,Peachpuff 4
181,Sgi Lightgray,Burlywood,Sgi Gray 56,Seashell 2,Gray 40,Gray 80
182,Peachpuff 3,Sgi Darkgray,Sepia,Chocolate 2,Ivoryblack,Warmgrey
183,Gray 15,Gainsboro,Sgi Gray 36,Gray 25,Ivoryblack,Lemonchiffon 4
184,Melon,Lemonchiffon 4,Darkolivegreen,Tomato 3,Gray 20,Lemonchiffon 3
185,Sgi Gray 36,Seashell 2,Gray 45,Gray 30,Sgi Gray 16,Antiquewhite 3
186,Cadetblue 2,Skyblue 3,Navajowhite 4,Peachpuff 3,Indianred 2,Ivory 2
187,Sgi Gray 56,Banana,Peru,Violetred 2,Cobaltgreen,Azure 3
188,Firebrick 2,Yellowgreen,Mediumblue,Mediumpurple 3,Gray 5,Salmon 4
189,Burlywood 3,Ivory 2,Lightyellow 3,Navajowhite 4,Gray 25,Sgi Darkgray
190,Gray 30,Gray 20,Pink 4,Gray 95,Gray 10,Ivoryblack
191,Darkkhaki,Bisque 2,Beige,Tan 4,Sienna 4,Wheat 3
192,Lightyellow 4,Gray 70,Snow 2,Burlywood,Darkolivegreen,Lightgrey
193,Ivory 3,Khaki 3,Sgi Gray 96,Palevioletred 2,Gray 30,Gray 60
194,Midnightblue,Dodgerblue 4,Sgi Gray 76,Azure 2,Gray 30,Lightskyblue 4
195,Gray 40,Lightyellow 4,Gray 30,Lightgoldenrod 4,Gray 20,Gray 65
196,Snow 1,Antiquewhite 2,Plum 2,Mistyrose 3,Khaki 4,Lightsalmon 2
197,Gray 95,Peachpuff 3,Mistyrose 2,Brown 3,Burntumber,Sgi Salmon
198,Bisque 3,Gray 30,Violetred 3,Gainsboro,Deeppink 4,Burlywood 4
199,Sienna 4,Goldenrod 3,Khaki 4,Khaki 3,Sepia,Darkolivegreen
200,Khaki 4,Sgi Brightgray,Lightsalmon 4,Gray 60,Darkolivegreen,Snow 2
201,Bisque 3,Cornsilk 4,Ivory 2,Sienna,Ivoryblack,Sgi Gray 36
202,Burlywood 4,Gray 25,Rosybrown,Azure 3,Brown 4,Steelblue
203,Chocolate,Ivory 4,Burntsienna,Gray 45,Gray 25,Seashell 2
